"ANO_ELEICAO";"SG_UF";"NM_URNA_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_CARGO";"ST_REELEICAO";"NR_IDADE_DATA_POSSE"
2018;"MG";"PROFESSOR JOÃO FRANCISCO";"PDT";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";71
2018;"AL";"REGINA OLIVEIRA";"PATRI";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";44
2018;"AL";"IRMÃO GEL";"PATRI";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO ESTADUAL";"N";54
2018;"MG";"WALKIRIA APPS";"PSL";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO FEDERAL";"N";42
2018;"PA";"PASTOR SAMUEL BITTENCOURT";"AVANTE";"MASCULINO";"SUPERIOR INCOMPLETO";"DEPUTADO ESTADUAL";"N";47
2018;"MG";"RICARDO LIMA";"AVANTE";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO FEDERAL";"N";53
2018;"PA";"ALBERTO ALCANTARA";"PR";"MASCULINO";"ENSINO MÉDIO COMPLETO";"1º SUPLENTE";"N";49
2018;"SP";"MARCOS COSTA";"NOVO";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";43
2018;"AP";"WAGNER BRITO";"PPS";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO ESTADUAL";"N";31
2018;"RS";"LUCIANO LEON";"PSD";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";45
2018;"CE";"MANINHO PALHANO";"PPL";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";54
2018;"DF";"BITO RAMOS";"PTC";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"DEPUTADO DISTRITAL";"N";37
2018;"RS";"MARCELO BORGES";"PPL";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";48
2018;"SP";"VALÉRIA";"MDB";"FEMININO";"SUPERIOR INCOMPLETO";"DEPUTADO ESTADUAL";"N";59
2018;"AM";"JAMYS CASTELO BRANCO";"PATRI";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";37
2018;"GO";"LUCIANO LIMA";"PTC";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";44
2018;"PE";"JÚNIOR DA RAIZ";"PPL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO FEDERAL";"N";32
2018;"RJ";"RICARDO MARIANO";"REDE";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";62
2018;"RJ";"PAULO FRANÇOIS";"PODE";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";36
2018;"BA";"DEUSDETE PIRES";"PTC";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";79
2018;"MS";"GILSON GARCIA COSTA RICA";"PODE";"MASCULINO";"LÊ E ESCREVE";"DEPUTADO ESTADUAL";"N";21
2018;"RR";"SANDER SALOMÃO";"MDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"2º SUPLENTE";"S";64
2018;"PI";"MILENA CARDOSO";"DC";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";30
2018;"SC";"PRISCYLLA MIGUEL";"PSDB";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";35
2018;"TO";"MARIA CLARICE LUSTOSA MILHOMEM";"PHS";"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO ESTADUAL";"N";54
2018;"RJ";"RODRIGO GÊMEOS DO GÁS";"PODE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO FEDERAL";"N";34
2018;"RS";"BRUNO EIZERIK";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";53
2018;"PE";"IRMÃ EDNA";"PR";"FEMININO";"LÊ E ESCREVE";"DEPUTADO FEDERAL";"N";39
2018;"GO";"PEDRO DO JUMENTO";"PRP";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";56
2018;"PE";"GUILHERME UCHOA JR.";"PSC";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";47
2018;"RJ";"ERIKA CORRÊA";"PODE";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";42
2018;"SP";"CHIQUINHO DO TRANSPORTE";"PATRI";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"DEPUTADO ESTADUAL";"N";44
2018;"SP";"TIÃO LIXEIRO";"DC";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"DEPUTADO FEDERAL";"N";53
2018;"RJ";"LUCAS MUNIZ";"PMN";"MASCULINO";"SUPERIOR INCOMPLETO";"DEPUTADO ESTADUAL";"N";25
2018;"AP";"SENA";"PHS";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";44
2018;"PI";"CORONEL CÉSAR LOPES";"PROS";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";68
2018;"PB";"JANAINA QUERINO";"AVANTE";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";35
2018;"SP";"ALEXANDRE FERREIRA";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";51
2018;"AC";"PEDRO TELES";"PSOL";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";68
2018;"CE";"CAMILO";"PT";"MASCULINO";"SUPERIOR COMPLETO";"GOVERNADOR";"S";50
2018;"RJ";"THIAGO EZEQUIEL ";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";35
2018;"MG";"SIDINEIA DIAS";"AVANTE";"FEMININO";"ENSINO FUNDAMENTAL INCOMPLETO";"DEPUTADO ESTADUAL";"N";40
2018;"AL";"DANIEL ANDERSON";"PPL";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO ESTADUAL";"N";29
